id,event_key,profile_key,trigger_kind,region_types,required_tags,excluded_tags,map_ids,avatar_filters,action_keys,weight,cooldown_months,max_per_month,text_id,comment
53,salt_steward_wet_ledger,salt_steward,region_tick,city,salt;port,,island_seas,,,0.8,18,1,BACKGROUND_NPC_EVENT_SALT_STEWARD_WET_LEDGER,盐仓湿账
54,fisherman_red_tide_net,fisherman,region_tick,city,fishing;tide,,island_seas,,,0.9,18,1,BACKGROUND_NPC_EVENT_FISHERMAN_RED_TIDE_NET,渔网赤潮
55,pearl_diver_shell_whisper,pearl_diver,region_tick,city,pearl;tide,,island_seas,,,0.8,24,1,BACKGROUND_NPC_EVENT_PEARL_DIVER_SHELL_WHISPER,珠贝异声
56,chart_peddler_hidden_reef,chart_peddler,region_tick,city,sea_chart;rumor,,island_seas,,,0.8,24,1,BACKGROUND_NPC_EVENT_CHART_PEDDLER_HIDDEN_REEF,暗礁海图
57,port_tax_collector_cargo_mark,port_tax_collector,region_tick,city,port;tax,,island_seas,,,0.9,18,1,BACKGROUND_NPC_EVENT_PORT_TAX_COLLECTOR_CARGO_MARK,港税货印
58,ship_captain_storm_oath,ship_captain,region_tick,city,ship;sea_trade,,island_seas,,,0.8,18,1,BACKGROUND_NPC_EVENT_SHIP_CAPTAIN_STORM_OATH,船老大避风
59,post_station_master_tired_horse,post_station_master,region_tick,city,post;frontier,,mountain_frontier,,,0.9,18,1,BACKGROUND_NPC_EVENT_POST_STATION_MASTER_TIRED_HORSE,驿马喘息
60,mine_foreman_cracked_beam,mine_foreman,region_tick,city,mining;frontier,,mountain_frontier,,,0.9,18,1,BACKGROUND_NPC_EVENT_MINE_FOREMAN_CRACKED_BEAM,矿梁裂缝
61,miner_lamp_circle,miner,region_tick,city,mining;frontier,,mountain_frontier,,,0.8,18,1,BACKGROUND_NPC_EVENT_MINER_LAMP_CIRCLE,矿灯围坐
62,ore_appraiser_blue_vein,ore_appraiser,region_tick,city,mining;appraisal,,mountain_frontier,,,0.8,18,1,BACKGROUND_NPC_EVENT_ORE_APPRAISER_BLUE_VEIN,矿石蓝纹
63,mountain_peddler_pass_price,mountain_peddler,region_tick,city,frontier;market,,mountain_frontier,,,0.8,18,1,BACKGROUND_NPC_EVENT_MOUNTAIN_PEDDLER_PASS_PRICE,山货议价
64,ginseng_gatherer_old_root,ginseng_gatherer,region_tick,city,medicine;frontier,,mountain_frontier,,,0.9,18,1,BACKGROUND_NPC_EVENT_GINSENG_GATHERER_OLD_ROOT,参客老根
65,beast_keeper_restless_cages,beast_keeper,region_tick,sect,beast_pen,,,,,0.9,18,1,BACKGROUND_NPC_EVENT_BEAST_KEEPER_RESTLESS_CAGES,灵兽躁动
66,forge_artisan_cold_anvil,forge_artisan,region_tick,sect,forge,,,,,0.8,18,1,BACKGROUND_NPC_EVENT_FORGE_ARTISAN_COLD_ANVIL,炼器冷砧
67,sect_cook_late_rice,sect_cook,region_tick,sect,kitchen,,,,,0.8,18,1,BACKGROUND_NPC_EVENT_SECT_COOK_LATE_RICE,宗门迟饭
68,sweeper_child_fallen_talisman,sweeper_child,region_tick,sect,sweep,,,,,0.8,18,1,BACKGROUND_NPC_EVENT_SWEEPER_CHILD_FALLEN_TALISMAN,洒扫拾符
69,vassal_steward_gift_boxes,vassal_steward,region_tick,sect,vassal,,,,,0.8,24,1,BACKGROUND_NPC_EVENT_VASSAL_STEWARD_GIFT_BOXES,附庸礼盒
70,letter_servant_rain_message,letter_servant,region_tick,sect,messenger,,,,,0.8,18,1,BACKGROUND_NPC_EVENT_LETTER_SERVANT_RAIN_MESSAGE,雨中送信
71,innkeeper_avatar_room,innkeeper,avatar_witness,city,inn,,,,,0.9,10,1,BACKGROUND_NPC_EVENT_INNKEEPER_AVATAR_ROOM,修士投宿
72,blacksmith_avatar_weapon_glance,blacksmith,avatar_witness,city,forge,,,,,0.8,10,1,BACKGROUND_NPC_EVENT_BLACKSMITH_AVATAR_WEAPON_GLANCE,铁匠看兵
73,artifact_shopkeeper_avatar_bow,artifact_shopkeeper,avatar_witness,city,artifact,,,realm_min=FOUNDATION_ESTABLISHMENT,,0.9,12,1,BACKGROUND_NPC_EVENT_ARTIFACT_SHOPKEEPER_AVATAR_BOW,法器铺迎修士
74,tax_collector_avatar_seal,tax_collector,avatar_witness,city,tax;official_order,,,official=any,,0.9,12,1,BACKGROUND_NPC_EVENT_TAX_COLLECTOR_AVATAR_SEAL,官身过税卡
75,constable_avatar_evil_case,constable,avatar_witness,city,casework;city_order,,,alignment=EVIL,,1.0,12,1,BACKGROUND_NPC_EVENT_CONSTABLE_AVATAR_EVIL_CASE,捕快避邪修
76,postal_courier_avatar_road,postal_courier,avatar_witness,city,post;roadside,,,,,0.8,10,1,BACKGROUND_NPC_EVENT_POSTAL_COURIER_AVATAR_ROAD,驿卒让路
77,ship_captain_avatar_board,ship_captain,avatar_witness,city,port;ship,,island_seas,,,0.9,10,1,BACKGROUND_NPC_EVENT_SHIP_CAPTAIN_AVATAR_BOARD,修士登船
78,pearl_diver_avatar_tide,pearl_diver,avatar_witness,city,pearl;tide,,island_seas,,,0.8,10,1,BACKGROUND_NPC_EVENT_PEARL_DIVER_AVATAR_TIDE,采珠人避潮
79,mine_foreman_avatar_tunnel,mine_foreman,avatar_witness,city,mining;frontier,,mountain_frontier,,,0.9,10,1,BACKGROUND_NPC_EVENT_MINE_FOREMAN_AVATAR_TUNNEL,矿队让道
80,mountain_peddler_avatar_goods,mountain_peddler,avatar_witness,city,frontier;market,,mountain_frontier,,,0.8,10,1,BACKGROUND_NPC_EVENT_MOUNTAIN_PEDDLER_AVATAR_GOODS,山货脚商遇修士
81,beast_keeper_avatar_hush,beast_keeper,avatar_witness,sect,beast_pen,,,sect=any,,0.8,10,1,BACKGROUND_NPC_EVENT_BEAST_KEEPER_AVATAR_HUSH,灵兽园避声
82,forge_artisan_avatar_pause,forge_artisan,avatar_witness,sect,forge,,,sect=any,,0.8,10,1,BACKGROUND_NPC_EVENT_FORGE_ARTISAN_AVATAR_PAUSE,炼器坊停锤
83,sect_cook_avatar_extra_bowl,sect_cook,avatar_witness,sect,kitchen,,,sect=any,,0.8,10,1,BACKGROUND_NPC_EVENT_SECT_COOK_AVATAR_EXTRA_BOWL,厨役加饭
84,sweeper_child_avatar_broom,sweeper_child,avatar_witness,sect,sweep,,,sect=any,,0.8,10,1,BACKGROUND_NPC_EVENT_SWEEPER_CHILD_AVATAR_BROOM,洒扫让阶
85,relief_officer_help_people_echo,relief_officer,action_echo,city,relief;official_order,,,,HelpPeople,1.0,12,1,BACKGROUND_NPC_EVENT_RELIEF_OFFICER_HELP_PEOPLE_ECHO,救济回声
86,weapon_shopkeeper_buy_echo,weapon_shopkeeper,action_echo,city,weapon;market,,,,Buy,0.9,12,1,BACKGROUND_NPC_EVENT_WEAPON_SHOPKEEPER_BUY_ECHO,买兵器回声
87,pawnshop_sell_echo,pawnshop_clerk,action_echo,city,pawnshop;appraisal,,,,Sell,0.9,12,1,BACKGROUND_NPC_EVENT_PAWNSHOP_SELL_ECHO,典当回声
88,blacksmith_refine_echo,blacksmith,action_echo,city,forge,,,,Refine;Temper,0.8,12,1,BACKGROUND_NPC_EVENT_BLACKSMITH_REFINE_ECHO,锻造回声
89,artifact_shopkeeper_cast_echo,artifact_shopkeeper,action_echo,city,artifact,,,,Cast;NurtureWeapon,0.8,12,1,BACKGROUND_NPC_EVENT_ARTIFACT_SHOPKEEPER_CAST_ECHO,法器回声
90,hunter_hunt_echo,hunter,action_echo,normal,forest;wild,,,,Hunt,0.8,12,1,BACKGROUND_NPC_EVENT_HUNTER_HUNT_ECHO,狩猎回声
91,herb_gatherer_harvest_echo,herb_gatherer,action_echo,normal,medicine;forest,,,,Harvest;Plant,0.9,12,1,BACKGROUND_NPC_EVENT_HERB_GATHERER_HARVEST_ECHO,采收回声
92,miner_mine_echo,miner,action_echo,city,mining;frontier,,mountain_frontier,,Mine,0.9,12,1,BACKGROUND_NPC_EVENT_MINER_MINE_ECHO,采矿回声
93,innkeeper_rest_echo,innkeeper,action_echo,city,inn,,,,Rest,0.8,12,1,BACKGROUND_NPC_EVENT_INNKEEPER_REST_ECHO,休息回声
94,post_station_move_echo,post_station_master,action_echo,city,post;frontier,,mountain_frontier,,MoveToRegion;MoveToDirection,0.8,12,1,BACKGROUND_NPC_EVENT_POST_STATION_MOVE_ECHO,驿站远行回声
95,beast_keeper_sect_mission_echo,beast_keeper,action_echo,sect,beast_pen,,,,SectMission,0.8,12,1,BACKGROUND_NPC_EVENT_BEAST_KEEPER_SECT_MISSION_ECHO,灵兽园任务回声
96,forge_artisan_sect_mission_echo,forge_artisan,action_echo,sect,forge,,,,SectMission;Refine,0.8,12,1,BACKGROUND_NPC_EVENT_FORGE_ARTISAN_SECT_MISSION_ECHO,炼器坊任务回声
97,censor_retainer_govern_echo,censor_retainer,action_echo,city,court;casework,,,,Govern,0.8,18,1,BACKGROUND_NPC_EVENT_CENSOR_RETAINER_GOVERN_ECHO,朝廷案牍回声
98,night_watchman_plunder_echo,night_watchman,action_echo,city,night_watch,,,,PlunderPeople;EatMortals;DevourPeople,0.9,12,1,BACKGROUND_NPC_EVENT_NIGHT_WATCHMAN_PLUNDER_ECHO,夜巡恐惧回声
